,image,price,deal,title,shop,location
0,//g.alicdn.com/s.gif,"¥
79.80",1697,"夏季凉拌菜零食礼包五香酱牛肉黄牛肉卤牛肉百家兴
美食
熟食四大袋",佳旭食品专营店,安徽 宣城
0,//g.alicdn.com/s.gif,"¥
39.00",1818,"抹茶雪花酥网红零食手工小吃点心茶点糕点
美食
休闲食品牛扎奶芙",都市翡翠食品旗舰店,浙江 金华
0,//g.alicdn.com/s.gif,"¥
48.00",40,"台湾
美食
大甲立祥紫芋酥6入 现货",梦蝶waz,福建 厦门
0,//g.alicdn.com/s.gif,"¥
24.00",302,"包邮轩妈家蛋黄酥20g*8枚/盒红豆迷你儿童蛋黄酥网红糕点
美食
零食",最后的轻语110,广西 南宁
0,//g.alicdn.com/s.gif,"¥
68.00",91,"毛华玉兰饼-无锡小吃-毛华
美食
-鲜肉20只装-冰鲜包装-全国天天发",无锡精致美食,江苏 无锡
0,//g.alicdn.com/s.gif,"¥
59.90",1071,"南京特产金陵夫子庙小吃零食传统糕点
美食
6盒大礼包送礼品袋",鹊菓食品旗舰店,江苏 南京
0,//g.alicdn.com/s.gif,"¥
34.90",2702,"黄大妈蛋黄酥6枚330g装雪媚娘手工新鲜海鸭蛋黄办公室糕点
美食
零",蕊园旗舰店,四川 成都
0,//g.alicdn.com/s.gif,"¥
38.00",610,"胡先生玫瑰蛋黄酥玫瑰豆沙雪媚娘麻薯传统糕点
美食
早餐零食 6枚装",mrhu旗舰店,云南 昆明
0,//g.alicdn.com/s.gif,"¥
26.90",5219,"千丝肉松饼整箱60个早餐网红零食品好吃的蛋糕点心小面包
美食
批发",林远峰_2008,福建 泉州
0,//g.alicdn.com/s.gif,"¥
29.90",937,"板栗饼特产好吃的零食孕妇食品休闲吃货
美食
小吃特色馅饼点心糕点",金建先生,福建 厦门
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/3865497082/TB2LOmtBHGYBuNjy0FoXXciBFXa_!!3865497082-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
24.80",4501,"美琼猪肉粕猪肉渣衙口猪油渣油粕福建特产小吃
美食
肉脂渣生酮零食",美琼食品旗舰店,福建 泉州
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/3894636946/TB2VAqhJ4GYBuNjy0FnXXX5lpXa_!!3894636946.jpg_360x360Q90.jpg_.webp,"¥
26.80",1194,"【4盒装】台湾牛扎雪花酥网红零食蔓越莓沙琪玛奶芙手工
美食
糕点",江大侠海鲜,安徽 芜湖
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3236993427/TB2e1Ezboz.BuNjt_j7XXX0nFXa_!!3236993427-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
43.90",406,"诱见雪花酥糕点礼盒装抹茶草莓网红零食手工自制ins
美食
抖音同款",诱见旗舰店,安徽 合肥
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/688632004/TB2clSwfS7PL1JjSZFHXXcciXXa_!!688632004.jpg_360x360Q90.jpg_.webp,"¥
28.88",389,"正宗新疆清真
美食
芝麻小油馕烤囊饼烧饼糕点零食营养早餐户外干粮",tb569657_2011,新疆 乌鲁木齐
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/834360269/TB1yC8AigfH8KJjy1zcXXcTzpXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
29.50",523,"包邮赵老师麻饼1500g散装椒盐/冰桔味四川特产成都糕点心
美食
零食",食食客客好口味,四川 成都
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/436287656/TB2IVNznrorBKNjSZFjXXc_SpXa_!!436287656-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
16.80",37916,"丫眯鲜花饼云南特产正宗玫瑰饼10枚 好吃的零食小吃
美食
休闲食品",潮昂食品专营店,云南 昆明
