,deal,image,location,price,shop,title
0,51,//g.alicdn.com/s.gif,广东 汕头,34.90,蓬盛旗舰店,"蓬盛咸菜4瓶组合装 正宗
潮汕
杂咸 早餐白粥配餐小菜酱菜"
0,57,//g.alicdn.com/s.gif,广东 汕头,230.00,大面鱼2014,"包邮双金龙精选三边腐竹18斤腐皮豆腐皮干货
潮汕
牛肉火锅店炸腐皮"
0,28,//g.alicdn.com/s.gif,广东 梅州,25.80,浪雅服饰,"五瓶装地都冬菜
潮汕
调味砂锅粥杂咸餐馆佐料 正宗火煲天津下饭菜"
0,129,//g.alicdn.com/s.gif,广东 广州,16.00,炜达首饰,"潮汕
特产水果蔬菜清心丸芋圆地瓜圆超Q糖水甜品包邮果蔬丸子"
0,125,//g.alicdn.com/s.gif,广东 汕头,49.00,黄莹津,"唐业大成猪肉脯228gX3包业成果汁味猪肉干小零食
潮汕
特产礼包包邮"
0,35,//g.alicdn.com/s.gif,上海,38.60,廉价不是罪,"包邮 蓬盛橄榄菜450g*4瓶 腌制下饭咸菜酱菜 香港橄榄菜
潮汕
特产"
0,40,//g.alicdn.com/s.gif,广东 东莞,39.90,346993041林哥,"菜脯粒9斤装免切
潮汕
砂锅粥专用 菜脯腌制脆萝卜 砂锅粥常备菜脯"
0,75,//g.alicdn.com/s.gif,广东 汕头,29.00,琉璃执着,"即食款 500克
潮汕
特产麻叶 野生麻叶 豆酱麻叶 潮州汕头美食咸菜"
0,154,//g.alicdn.com/s.gif,广东 汕头,29.50,wzx13642226446,"潮汕
特产萝卜干菜脯碎丁粒 腌制菜饭店肠粉餐厅用5斤装包邮"
0,116,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/820920136/TB2i7L0bbFlpuFjy0FgXXbRBVXa_!!820920136.jpg_180x180.jpg_.webp,广东 汕头,65.00,zxt83733663,"【省内包邮】广东
潮汕
潮阳棉城特产赵记鲎粿鲎果蚝果豪果好果豪粿"
0,188,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/3979342992/TB2fuGbA1uSBuNjy1XcXXcYjFXa_!!3979342992-0-item_pic.jpg_180x180.jpg_.webp,广东 广州,156.00,海银海记旗舰店,"海银海记 正宗
潮汕
牛肉丸汕头牛丸子火锅食材 原味牛肉丸250G*4"
0,219,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/713757391/TB28B_XnHZnBKNjSZFGXXbt3FXa_!!713757391.jpg_180x180.jpg_.webp,广东 汕头,39.00,st一品李,"舌尖上的中国3专做海鲜鱼丸手工丸纯鱼肉无添加达濠
潮汕
火锅丸子"
0,947,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/199317074/TB2X_XduXXXXXcnXXXXXXXXXXXX_!!199317074.jpg_180x180.jpg_.webp,广东 潮州,39.80,chenzhexin1,"【当天生产】正宗
潮汕
手打牛筋丸500g牛肉丸火锅食材潮州汕头特产"
0,180,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1660314386/TB2TiBonTnI8KJjSszbXXb4KFXa_!!1660314386.jpg_180x180.jpg_.webp,广东 汕头,28.00,家有宝贝2013225,"2斤包邮
潮汕
正宗手工手打猪肉丸 潮州汕头特产 火锅食材底料丸子"
0,97,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2807653596/TB2DKjUaPgy_uJjSZK9XXXvlFXa_!!2807653596.jpg_180x180.jpg_.webp,福建 厦门,34.50,纵腾电子,"潮汕
特产正宗香港蓬盛橄榄菜450g罐头下饭菜瓶装酱菜芥菜开味菜"
0,24,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2822291081/TB2YjJ2mbBkpuFjy1zkXXbSpFXa_!!2822291081.jpg_180x180.jpg_.webp,广东 揭阳,30.65,富林门1398,"地都咸菜
潮汕
咸菜 潮州小菜 酸菜
潮汕
特产 早餐宵夜炒菜 包邮"
0,599,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3880171740/TB1vgaeGbuWBuNjSszgXXb8jVXa_!!0-item_pic.jpg_180x180.jpg_.webp,广东 汕头,22.90,蓬盛旗舰店,"蓬盛2瓶开胃菜组合 香港橄榄菜450g+虾仁菜脯 广东
潮汕
特产下饭菜"
0,92,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2744599708/TB1JDjpc6gy_uJjSZSyXXbqvVXa_!!0-item_pic.jpg_180x180.jpg_.webp,广东 汕头,143.80,连好食品专营店,"潮庭汕头牛肉丸两斤正宗牛筋丸
潮汕
特产火锅食材批发手打撒尿牛丸"
0,374,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/182615760/TB1wVfTCf9TBuNjy0FcXXbeiFXa_!!0-item_pic.jpg_180x180.jpg_.webp,广东 潮州,19.80,wuhaibo551,"潮汕
特产虾仁菜脯 高堂菜脯丁萝卜干下饭菜开胃潮州咸杂3瓶装包邮"
0,608,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/1660314386/TB2X3d.nL2H8KJjy1zkXXXr7pXa_!!1660314386.jpg_180x180.jpg_.webp,广东 汕头,21.60,家有宝贝2013225,"3斤包邮
潮汕
猪肉饼手打猪肉卷 火锅食材 广东潮州汕头特产小吃"
0,121,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/193445657/TB2WDU1kr1YBuNjSszeXXablFXa_!!193445657.jpg_180x180.jpg_.webp,广东 汕头,25.00,maiqiongxuan,"18年7月10包
潮汕
特产桂盛潮州咸菜2500g下饭菜小菜酱菜泡菜袋"
0,48,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/53033530/TB2sotoh4PI8KJjSspoXXX6MFXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 潮州,48.00,食住知,"潮汕
特产潮州小吃美食猪肉脯碳烤500g大片风干手撕猪肉干原汁原味"
0,6,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/53033530/TB2BgX7cvQs8KJjSZFEXXc9RpXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 潮州,38.00,食住知,"潮客来
潮汕
特产潮州手打牛筋丸正宗 烧烤火锅牛肉丸子2斤多省包邮"
0,363,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/133439223/TB2PnLfCCtYBeNjSspaXXaOOFXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 潮州,88.00,馋呱呱旗舰店,"馋呱呱
潮汕
特产素食橄榄菜酱脆木瓜丝泡菜早餐下饭菜即食下酒酱菜"
0,105,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/98674116/TB2jfHJhR0kpuFjy1zdXXXuUVXa_!!98674116.jpg_180x180.jpg_.webp,广东 汕头,18.50,ldsl20051,"包邮450g*2瓶 简盛香港橄榄菜 酱菜泡菜配粥小菜杂咸
潮汕
特产粥菜"
0,20,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1cjkCGXXXXXcfXXXXXXXXXXXX_!!0-item_pic.jpg_180x180.jpg_.webp,广东 潮州,48.00,ch773042994,"包邮 万亨猪肉脯 果汁味猪肉脯500克/包
潮汕
特产 原产地庵埠发货"
0,65,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/1818510949/TB2zondXLuSBuNkHFqDXXXfhVXa_!!1818510949.jpg_180x180.jpg_.webp,广东 揭阳,23.90,mj我没有想你,"潮汕
特产即食油炸猪皮 肉皮猪皮干货火锅 肉皮干凉拌响皮500g包邮"
0,86,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/342192752/TB2UzUbrYtlpuFjSspfXXXLUpXa_!!342192752.jpg_180x180.jpg_.webp,广东 汕头,33.80,斑马虫,"菜脯 咸香菜脯粒 5斤装 粒 丁 碎 咸菜 下饭菜
潮汕
特产 萝卜干"
0,30,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2888515861/TB2WbMIaN9YBuNjy0FfXXXIsVXa_!!2888515861.jpg_180x180.jpg_.webp,广西 贵港,26.80,huanghuajie2016,"油炸腐竹广西特产
潮汕
干货豆皮腐皮螺蛳粉火锅麻辣烫配菜500克"
0,66,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/25215088/TB1kV8dGhGYBuNjy0FnXXX5lpXa_!!0-item_pic.jpg_180x180.jpg_.webp,广东 汕头,23.50,梦想互动社区,"蓬盛香港橄榄菜450g瓶装正宗
潮汕
特产即食开胃早餐下饭菜榨酱包邮"
0,322,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/442125457/TB2iJwboYSYBuNjSspfXXcZCpXa_!!442125457.jpg_180x180.jpg_.webp,广东 汕头,30.50,chenyanpengxiaodan,"包邮 玉蕾虾仁菜脯227g 6瓶
潮汕
特产杂咸 佐粥 佳品酱小菜早餐"
0,1889,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/1645975125/TB2LkJztpXXXXadXXXXXXXXXXXX_!!1645975125.jpg_180x180.jpg_.webp,广东 揭阳,13.00,huangshaopeng1,"广东
潮汕
特产糕点正宗惠来绿豆饼酥皮手工小吃素食茶点心早餐零食"
0,20,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/704790720/TB2QjefmnTI8KJjSsphXXcFppXa_!!704790720.jpg_180x180.jpg_.webp,广东 揭阳,17.50,一千坊,"1份10包包邮 潮州小菜虾仁菜脯粒各5包 潮州咸菜小菜80克
潮汕
特产"
0,56,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/904006434/TB2Q6Y_Hx9YBuNjy0FfXXXIsVXa_!!904006434.jpg_180x180.jpg_.webp,广东 潮州,25.00,dong27401597,"潮汕
特产肉类零食小吃猪肉干鲜烤猪肉脯休闲美食蜜汁原味黑椒手信"
