Column1	deal	image	location	price	shop	title
0	91	//g.alicdn.com/s.gif	上海	3499	技嘉旗舰店	"技嘉 GTX1070Ti 8G 逆水寒 吃鸡 电脑游戏独立超频
显卡
RGB信仰灯"
0	214	//g.alicdn.com/s.gif	上海	1899	七彩虹电脑硬件旗舰店	"七彩虹iGame1060 烈焰战神U-6GD5 TOP 电脑游戏
显卡
GTX1060
显卡"
0	63	//g.alicdn.com/s.gif	湖北 武汉	3669	ityogo	"索泰GTX1080 8G至尊PLUS OC独立电脑游戏
显卡
超gtx1070逆水寒
显卡"
0	620	//g.alicdn.com/s.gif	河南 洛阳	388	轻轻巧的	"七彩虹/华硕GTX950 2G 独立游戏
显卡
秒技嘉750TI 760 追1050"
0	147	//g.alicdn.com/s.gif	湖北 武汉	799	丙成数码专营店	"6期免息/影驰GTX1050黑将 吃鸡游戏
显卡
台式机电脑独立
显卡"
0	498	//g.alicdn.com/s.gif	四川 成都	475	信时科技	"华硕GTX960 2G 游戏
显卡
索泰微星970 4G 1060 3G 6G 1050TI 1070"
0	34	//g.alicdn.com/s.gif	广东 广州	3099	xfx讯景旗舰店	"XFX讯景RX Vega56 8G
显卡
竞技游戏独立amd
显卡
吃鸡HBM2次旗舰包邮"
0	49	//g.alicdn.com/s.gif	江苏 南京	1499	极客湾电脑超市	"【极客湾】技X官方质保3年1060 5G
显卡
1065"
0	129	//g.alicdn.com/s.gif	广东 深圳	1429	itlxnet2007	"图吧全新GTX1060 5G游戏独立
显卡
台式机电脑独显
显卡
吃鸡逆水寒"
0	42	//g.alicdn.com/s.gif	上海	3499	七彩虹电脑硬件旗舰店	"Colorful/七彩虹 iGame GTX1070Ti Vulcan X TOP 游戏独立
显卡"
0	60	//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3878257289/TB2q0Tcn8jTBKNjSZFNXXasFXXa_!!3878257289.jpg_180x180.jpg_.webp	广东 深圳	1269	航锐成科技	"全新 GTX1060 5GB 1065 吃鸡LOL电脑独立游戏
显卡
逆水寒 三年保"
0	72	//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2114030042/TB1ngT4niMnBKNjSZFzXXc_qVXa_!!0-item_pic.jpg_180x180.jpg_.webp	江苏 南京	1849	影驰铭索顺专卖店	"影驰GTX1060大将6G 台式电脑独立
显卡
高清游戏吃鸡
显卡
1060 6g"
0	359	//g-search3.alicdn.com/img/bao/uploaded/i4/i2/635143685/TB1AP_Jmv5TBuNjSspcXXbnGFXa_!!0-item_pic.jpg_180x180.jpg_.webp	河南 郑州	278	爱丝冰奴8	"吃鸡
显卡
R9 270 370X讯景蓝宝石另GTX660 760 1060 370 1050 750"
0	70	//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1577744489/TB1Pir0n8jTBKNjSZFDXXbVgVXa_!!0-item_pic.jpg_180x180.jpg_.webp	上海	1899	易华旗舰店	"华硕 DUAL-RX580-O8G雪豹 台式机电竞游戏吃鸡独立
显卡
AMD
显卡
8g"
0	347	//g-search3.alicdn.com/img/bao/uploaded/i4/i2/548286657/TB2CXqtnborBKNjSZFjXXc_SpXa_!!548286657.jpg_180x180.jpg_.webp	广东 深圳	289	亿芯网络科技	"七彩虹GTX750Ti 2G
显卡
台式机电脑吃鸡2G独立
显卡
游戏高清独显"
0	63	//g-search1.alicdn.com/img/bao/uploaded/i4/i3/2731691808/O1CN011PE6XIvZmqhaZt1_!!2731691808.jpg_180x180.jpg_.webp	江苏 南京	1699	影驰电脑硬件旗舰店	"影驰 GeForce GTX1060 mini 6G ITX小机箱HTPC电脑独立游戏
显卡"
0	201	//g-search3.alicdn.com/img/bao/uploaded/i4/i2/838126106/TB2MFvhXy6guuRjy0FmXXa0DXXa_!!838126106.jpg_180x180.jpg_.webp	四川 成都	825	潘健的	"诚信科技 讯景R9 390 8G 4G
显卡
有RX470 4G 480 GTX1060 3G 1070"
0	454	//g-search2.alicdn.com/img/bao/uploaded/i4/i4/1574891186/TB1EQshdlyWBuNkSmFPXXXguVXa_!!0-item_pic.jpg_180x180.jpg_.webp	广东 深圳	188	卡诺基旗舰店	"畅销万件流畅吃鸡游戏
显卡
gtx650台式电脑高清独立1G秒地下城逆战"
